du_an,price_VND,location,status,area,price_m2,toilet,room,doc,type,Số tầng,furnishing
,22.9,"Phố Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",,45.0,508.89,4.0,4.0,Đã có sổ,"Nhà mặt phố, mặt tiền",4.0,Nội thất đầy đủ
,22.9,"Phố Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",,45.0,508.89,4.0,4.0,Đã có sổ,"Nhà mặt phố, mặt tiền",4.0,Nội thất đầy đủ
,16.9,"Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội",,120.0,140.83,6.0,6.0,Đã có sổ,"Nhà mặt phố, mặt tiền",6.0,
,12.8,"Phố Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội",,50.0,256.0,,4.0,Đã có sổ,"Nhà mặt phố, mặt tiền",6.0,Nội thất cao cấp
,55.0,"Phố Láng Hạ, Phường Thành Công, Quận Ba Đình, Hà Nội",,100.0,550.0,5.0,5.0,Đã có sổ,"Nhà mặt phố, mặt tiền",5.0,Nội thất cao cấp
,4.5,"Đường Đại Mỗ, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội",,31.0,145.16,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất cao cấp
,6.3,"Ngõ 379 Đội Cấn , Phường Cống Vị, Quận Ba Đình, Hà Nội",,40.0,157.5,4.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất cao cấp
,13.0,"Phố Lò Đúc, Phường Đống Mác, Quận Hai Bà Trưng, Hà Nội",,65.0,200.0,4.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất cao cấp
,5.7,"Phố Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",,33.0,172.73,,3.0,Đã có sổ,"Nhà ngõ, hẻm",,
,20.0,"Phố Lạc Trung, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",,70.0,285.71,4.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất đầy đủ
,27.0,"Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Hà Nội",,96.0,281.25,3.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất đầy đủ
