du_an,price_VND,location,status,area,price_m2,toilet,room,doc,type,Số tầng,furnishing
,1.86,"Thuỵ Hà, Xã Bắc Hồng, Huyện Đông Anh, Hà Nội",,42.0,44.29,,,Đã có sổ,Đất thổ cư,,
,4.2,"Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",,45.0,93.33,,,Đã có sổ,Đất thổ cư,,
,6.3,"Nguyễn Đức Cảnh, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",,61.0,103.28,,,Đã có sổ,Đất thổ cư,,
,4.5,"Phố Hà Trì, Phường Hà Cầu, Quận Hà Đông, Hà Nội",,45.0,100.0,,,Đã có sổ,Đất thổ cư,,
,2.73,"Cầu Thăng Long, Xã Hải Bối, Huyện Đông Anh, Hà Nội",,48.0,56.88,,,Đã có sổ,Đất thổ cư,,
,13.8,"Đường Lạc Long Quân, Phường Nhật Tân, Quận Tây Hồ, Hà Nội",,75.0,184.0,,,Đã có sổ,Đất thổ cư,,
du_an,price_VND,location,status,area,price_m2,toilet,room,doc,type,Số tầng,furnishing
,1.9,"Liên xã, Xã Khánh Hà, Huyện Thường Tín, Hà Nội",,45.0,42.22,,,Đã có sổ,Đất thổ cư,,
,4.5,"Tiên Dương, Xã Tiên Dương, Huyện Đông Anh, Hà Nội",,60.0,75.0,,,Đã có sổ,Đất thổ cư,,
,8.0,"Ngõ 104 Nguyễn An NInh, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội",,60.0,133.33,,,Đã có sổ,Đất thổ cư,,
,1.0,"Đường liên thôn , Xã Tân Tiến, Huyện Chương Mỹ, Hà Nội",,80.0,12.5,,,Đã có sổ,Đất thổ cư,,
,9.186,"Đìa Đừng, Thị trấn Phùng, Huyện Đan Phượng, Hà Nội",,84.28,108.99,,,Đã có sổ,Đất thổ cư,,
,9.0,"Nội Bộ, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",,50.0,180.0,,,Đã có sổ,Đất nền dự án,,
,13.6,"3,5, Xã Di Trạch, Huyện Hoài Đức, Hà Nội",,95.0,143.16,,,Đã có sổ,Đất thổ cư,,
,2.1,"Phú Bến, Xã Thụy Hương, Huyện Chương Mỹ, Hà Nội",,50.0,42.0,,,Đã có sổ,Đất thổ cư,,
,3.95,"Phố Tình Quang, Phường Giang Biên, Quận Long Biên, Hà Nội",,50.0,79.0,,,Đã có sổ,Đất thổ cư,,
,3.65,"Khoan Tế, Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",,52.8,69.13,,,Đã có sổ,Đất thổ cư,,
,16.4,"Trâu Quỳ, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",,119.0,137.82,,,Đã có sổ,Đất thổ cư,,
,5.45,"Quốc Lộ 3, Xã Tiên Dương, Huyện Đông Anh, Hà Nội",,71.0,76.76,,,Đã có sổ,Đất thổ cư,,
,7.3,"Phố Phúc Xá, Phường Phúc Xá, Quận Ba Đình, Hà Nội",,74.0,98.65,,,Đã có sổ,Đất thổ cư,,
,3.3,"Tổ 13, Thị trấn Đông Anh, Huyện Đông Anh, Hà Nội",,55.0,60.0,,,Đã có sổ,Đất thổ cư,,
,1.575,"Xuân Bách, Xã Quang Tiến, Huyện Sóc Sơn, Hà Nội",,70.0,22.5,,,Đã có sổ,Đất thổ cư,,
,6.9,"Phố Nghĩa Dũng, Phường Phúc Xá, Quận Ba Đình, Hà Nội",,90.0,76.67,,,Đã có sổ,Đất thổ cư,,
,5.85,"Phố Thanh Lân, Phường Thanh Trì, Quận Hoàng Mai, Hà Nội",,73.0,80.14,,,Đã có sổ,Đất thổ cư,,
,3.1,"Phố Châu Đài, Phường Thượng Cát, Quận Bắc Từ Liêm, Hà Nội",,38.0,81.58,,,Đã có sổ,Đất thổ cư,,
,2.1,"Liên xã, Xã Đại áng, Huyện Thanh Trì, Hà Nội",,49.0,42.86,,,Đã có sổ,Đất thổ cư,,
,7.0,"Phố Yên Sở, Phường Yên Sở, Quận Hoàng Mai, Hà Nội",,65.0,107.69,,,Đã có sổ,Đất thổ cư,,
,17.5,"Đường An Dương Vương, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",,140.0,125.0,,,Đã có sổ,Đất thổ cư,,
,5.15,"Đường Bát Khối, Phường Cự Khối, Quận Long Biên, Hà Nội",,54.0,95.37,,,Đã có sổ,Đất thổ cư,,
,5.068,"Ngõ 6, Thanh Sơn 14, Xã Minh Phú, Huyện Sóc Sơn, Hà Nội",,248.0,20.44,,,Đã có sổ,Đất thổ cư,,
,7.85,"Đường 19 Tháng 5, Phường Văn Quán, Quận Hà Đông, Hà Nội",,55.0,142.73,,,Đã có sổ,Đất thổ cư,,
,1.95,"Đường tỉnh 131, Xã Quang Tiến, Huyện Sóc Sơn, Hà Nội",,52.0,37.5,,,Đã có sổ,Đất thổ cư,,
,4.89,"Đường Hà Huy Tập, Thị trấn Yên Viên, Huyện Gia Lâm, Hà Nội",,47.0,104.04,,,Đã có sổ,Đất thổ cư,,
,1.82,"Dt420, Xã Bình Yên, Huyện Thạch Thất, Hà Nội",,75.0,24.27,,,Đã có sổ,Đất thổ cư,,
,8.2,"Kim Giang, Xã Thanh Liệt, Huyện Thanh Trì, Hà Nội",,60.0,136.67,,,Đã có sổ,Đất thổ cư,,
,9.0,"Phố Nhổn, Phường Tây Tựu, Quận Bắc Từ Liêm, Hà Nội",,92.0,97.83,,,Đã có sổ,Đất thổ cư,,
,2.85,"đông la, Xã Đông La, Huyện Hoài Đức, Hà Nội",,48.4,58.88,,,Đã có sổ,Đất thổ cư,,
,17.5,"Phố Dương Khuê, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",,40.0,437.5,,,Đã có sổ,Đất thổ cư,,
,7.2,"Phố Nguyễn Văn Trỗi, Phường Mộ Lao, Quận Hà Đông, Hà Nội",,52.0,138.46,,,Đã có sổ,Đất thổ cư,,
,18.0,"Đường Đại Mỗ, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội",,75.0,240.0,,,Đã có sổ,Đất thổ cư,,
,5.55,"Ngõ 367 phố Ngô Xuân Quảng, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",,46.3,119.87,,,Đã có sổ,Đất thổ cư,,
