du_an,price_VND,location,status,area,price_m2,toilet,room,doc,type,Số tầng,furnishing
Vinhomes Ocean Park Gia Lâm,3.15,"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,70.0,45.0,2.0,2,Sổ hồng riêng,Chung cư,,Hoàn thiện cơ bản
Vinhomes Ocean Park Gia Lâm,2.65,"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,60.0,44.17,1.0,2,Sổ hồng riêng,Chung cư,,Hoàn thiện cơ bản
Vinhomes Ocean Park Gia Lâm,2.25,"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Chưa bàn giao,43.0,52.33,1.0,2,Sổ hồng riêng,Chung cư,,
Khu đô thị Mỹ Đình Sông Đà - Sudico,6.7,"Phạm Hùng, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,110.0,60.91,2.0,3,Hợp đồng đặt cọc,Chung cư,,
,4.55,"Đường Phạm Văn Đồng, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội",Đã bàn giao,87.0,52.3,2.0,3,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,2.35,"Hh1c, HH linh đàm, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Chưa bàn giao,56.0,41.96,2.0,2,Hợp đồng mua bán,Chung cư,,Nội thất đầy đủ
Vinhomes Smart City,4.0,", Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,64.0,62.5,2.0,2,Sổ hồng riêng,Chung cư,,
,2.86,"Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Huyện Gia Lâm, Hà Nội",Đã bàn giao,60.0,47.67,1.0,2,Sổ hồng riêng,Chung cư,,
Bình Vượng Tower,5.0,"200, Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội",Đã bàn giao,146.0,34.25,2.0,3,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
Vinhomes Ocean Park Gia Lâm,2.25,"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,47.0,47.87,1.0,1,Sổ hồng riêng,Chung cư,,Hoàn thiện cơ bản
,7.95,"Đường Lê Đức Thọ, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,93.0,85.48,,3,Sổ hồng riêng,Chung cư,,Nội thất cao cấp
Vinhomes Ocean Park Gia Lâm,1.65,"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,31.0,53.23,1.0,1,Sổ hồng riêng,Chung cư,,Hoàn thiện cơ bản
,1.48,"Phố Khương Thượng, Phường Khương Thượng, Quận Đống Đa, Hà Nội",Đã bàn giao,35.0,42.29,1.0,1,Hợp đồng mua bán,Chung cư,,Nội thất đầy đủ
Vinhomes Ocean Park Gia Lâm,2.6,"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,60.0,43.33,1.0,2,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
Vinhomes Ocean Park Gia Lâm,3.5,"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,80.0,43.75,2.0,3,1,Chung cư,,Nội thất đầy đủ
Vinhomes Ocean Park Gia Lâm,3.1,"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,70.0,44.29,2.0,2,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
Vinhomes Ocean Park Gia Lâm,3.1,"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,70.0,44.29,2.0,2,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
Vinhomes Ocean Park Gia Lâm,2.2,"Xã Đa Tốn, Kiêu Kỵ, Dương Xá và một phần thị trấn Trâu Quỳ, Gia Lâm, Hà Nội",Đã bàn giao,47.0,46.81,1.0,1,Sổ hồng riêng,Chung cư,,Hoàn thiện cơ bản
,2.6,"Đường Lý Thánh Tông, Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",Đã bàn giao,60.0,43.33,1.0,2,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,3.86,"Ngõ 51 Lương Khánh Thiện, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Chưa bàn giao,74.0,52.16,3.0,2,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,5.5,"Đường Trung Văn, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,105.0,52.38,,3,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,4.76,"Đường Tây Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,81.0,58.77,2.0,3,Sổ hồng riêng,Chung cư,,
A10-A14 Nam Trung Yên,5.1,"Lô A10-A14, Yên Hòa, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",Đã bàn giao,75.0,68.0,2.0,2,Sổ hồng riêng,Chung cư,,
,3.68,"129, Đường Nguyễn Trãi, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Chưa bàn giao,79.0,46.58,2.0,3,Sổ hồng riêng,"Tập thể, cư xá",,Nội thất cao cấp
,3.6,"Đường cao tốc Hà Nội – Hải Phòng, Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",Đã bàn giao,80.0,45.0,2.0,3,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,4.3,"Đường Trung Văn, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,76.0,56.58,,2,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,5.35,"Phố Nguyễn Cơ Thạch, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,84.0,63.69,,3,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
Vinhomes Smart City,2.86,"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Chưa bàn giao,45.0,63.56,1.0,1,Hợp đồng mua bán,Chung cư,,
Vinhomes Smart City,3.7,"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,54.0,68.52,2.0,2,Sổ hồng riêng,Chung cư,,Nội thất cao cấp
Vinhomes Smart City,3.17,"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,43.0,73.72,1.0,1,Sổ hồng riêng,Chung cư,,Nội thất cao cấp
Vinhomes Smart City,4.35,"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,65.0,66.92,2.0,3,Sổ hồng riêng,Chung cư,,
Vinhomes Smart City,3.72,"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,54.0,68.89,,2,Sổ hồng riêng,Chung cư,,Nội thất cao cấp
Vinhomes Smart City,3.08,"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,43.0,71.63,1.0,1,Sổ hồng riêng,Chung cư,,Nội thất cao cấp
Vinhomes Smart City,3.0,"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,43.0,69.77,1.0,1,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
Vinhomes Ocean Park Gia Lâm,1.62,"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,30.0,54.0,1.0,1,Sổ hồng riêng,Chung cư,,
Khu đô thị mới Xa La,2.3,"Phùng Hưng, Phường Phúc La, Quận Hà Đông, Hà Nội",Đã bàn giao,73.0,31.51,,2,Hợp đồng mua bán,Chung cư,,
Vinhomes Ocean Park Gia Lâm,2.2,"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,47.0,46.81,1.0,1,Sổ hồng riêng,Chung cư,,
,4.35,"Phố Trần Đăng Ninh, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Đã bàn giao,65.0,66.92,1.0,2,Sổ hồng riêng,Chung cư,,
,0.75,"Đường Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội",Đã bàn giao,55.0,13.64,2.0,2,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,0.8,"Đường Trương Định, Phường Tương Mai, Quận Hoàng Mai, Hà Nội",Đã bàn giao,55.0,14.55,1.0,2,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,0.765,"chùa bộc, Phường Quang Trung, Quận Đống Đa, Hà Nội",Đã bàn giao,53.0,14.43,2.0,2,1,Chung cư,,Nội thất đầy đủ
,0.75,"Đường Đại Cồ Việt, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",Đã bàn giao,54.0,13.89,2.0,2,1,Chung cư,,Nội thất đầy đủ
Vinhomes Ocean Park Gia Lâm,2.57,"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,60.0,42.83,1.0,2,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
Vinhomes Ocean Park Gia Lâm,3.5,"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,80.0,43.75,2.0,3,Sổ hồng riêng,Chung cư,,Nội thất cao cấp
,3.5,"305/61/124, Cầu Vĩnh Tuy, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",Đã bàn giao,108.0,32.41,2.0,4,Sổ hồng riêng,"Tập thể, cư xá",,Hoàn thiện cơ bản
,18.0,"Phố Vĩnh Hưng, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội",Chưa bàn giao,100.0,180.0,6.0,10,Đang chờ sổ,Chung cư,,Hoàn thiện cơ bản
,4.96,"Phố Trần Đăng Ninh, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Chưa bàn giao,80.0,62.0,2.0,2,Sổ hồng riêng,Chung cư,,Hoàn thiện cơ bản
Hapulico Complex,8.7,"Số 1, Số 1 Số 1 Nguyễn Huy Tưởng, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",Đã bàn giao,140.0,62.14,2.0,3,Sổ hồng riêng,Chung cư,,Hoàn thiện cơ bản
Vinhomes Ocean Park Gia Lâm,3.2,"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,70.0,45.71,2.0,2,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
Vinhomes Ocean Park Gia Lâm,1.65,"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,31.0,53.23,1.0,1,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,5.1,"Phố Định Công, Phường Định Công, Quận Hoàng Mai, Hà Nội",Chưa bàn giao,72.0,70.83,2.0,2,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,7.6,"Phố Chính Kinh, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Chưa bàn giao,87.0,87.36,2.0,3,Sổ hồng riêng,Chung cư,,Nội thất cao cấp
,3.9,"Đường Hồ Tùng Mậu, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",Chưa bàn giao,70.0,55.71,1.0,2,Sổ hồng riêng,"Tập thể, cư xá",,Nội thất đầy đủ
,0.65,"Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội",Đã bàn giao,50.0,13.0,1.0,2,Hợp đồng mua bán,"Căn hộ dịch vụ, mini",,Nội thất cao cấp
,0.65,"Đường Lê Duẩn, Phường Phương Liên, Quận Đống Đa, Hà Nội",Đã bàn giao,42.0,15.48,1.0,2,Sổ hồng riêng,"Căn hộ dịch vụ, mini",,Nội thất cao cấp
,0.65,"Đường Trần Cung, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Đã bàn giao,50.0,13.0,1.0,2,Sổ hồng riêng,"Căn hộ dịch vụ, mini",,Nội thất cao cấp
,2.05,"Đường Tây Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,28.0,73.21,1.0,1,Sổ hồng riêng,Chung cư,,
,0.65,"Đường Xuân La, Phường Xuân La, Quận Tây Hồ, Hà Nội",Đã bàn giao,42.0,15.48,1.0,2,Đang chờ sổ,"Căn hộ dịch vụ, mini",,Nội thất cao cấp
