du_an,price_VND,location,status,area,price_m2,toilet,room,doc,type,Số tầng,furnishing
FLC Garden City,3.85,"Đại Mỗ, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội",Chưa bàn giao,66.0,58.33,2.0,2,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
CT1 Thạch Bàn,4.6,"Khu đô thị Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",Đã bàn giao,95.0,48.42,2.0,3,Sổ hồng riêng,Chung cư,,Nội thất cao cấp
,4.35,"Đường Trần Phú, Phường Mộ Lao, Quận Hà Đông, Hà Nội",Đã bàn giao,89.0,48.88,2.0,2,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,3.4,"nam  trung yên, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",Đã bàn giao,65.0,52.31,1.0,2,Sổ hồng riêng,Chung cư,,Hoàn thiện cơ bản
Vinhomes Smart City,1.85,"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,25.0,74.0,1.0,1,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,3.4,"nam  trung yên, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",Đã bàn giao,65.0,52.31,1.0,2,Sổ hồng riêng,Chung cư,,Hoàn thiện cơ bản
Vinhomes Smart City,1.85,"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,25.0,74.0,1.0,1,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,5.5,"Phố Trần Hữu Dực, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,104.0,52.88,2.0,3,Sổ hồng riêng,Chung cư,,
,4.65,"Tòa nhà N03, Trần Quý Kiên , Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Đã bàn giao,78.0,59.62,1.0,2,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,3.1,"cổ loa, Xã Cổ Loa, Huyện Đông Anh, Hà Nội",Chưa bàn giao,32.0,96.88,1.0,1,Hợp đồng mua bán,Chung cư,,
,0.07,"tầng 10, Chung cư 15/17 Ngọc Khánhh, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",Đã bàn giao,146.0,0.479452,,3,Sổ hồng riêng,Chung cư,,Nội thất cao cấp
,3.78,"Đường Lê Văn Lương, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Đã bàn giao,55.0,68.73,1.0,2,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,3.6,"Đường cao tốc Hà Nội – Hải Phòng, Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",Đã bàn giao,80.0,45.0,2.0,3,Sổ hồng riêng,Chung cư,,
,2.22,"Đường Lý Thánh Tông, Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",Đã bàn giao,47.0,47.23,1.0,1,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,1.72,"Đường Lý Thánh Tông, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,30.0,57.33,1.0,1,Hợp đồng mua bán,Chung cư,,
,1.65,"Đường Lý Thánh Tông, Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",Đã bàn giao,31.0,53.23,1.0,1,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,5.0,"187, Ngách 84 Ngõ 180 Nguyễn Lương Bằng, Phường Quang Trung, Quận Đống Đa, Hà Nội",Đã bàn giao,65.0,76.92,1.0,2,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,0.6,"xã đàn, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",Chưa bàn giao,36.0,16.67,1.0,2,1,"Căn hộ dịch vụ, mini",,Nội thất cao cấp
,0.75,"Đường An Dương Vương, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",Đã bàn giao,50.0,15.0,1.0,2,Sổ hồng riêng,"Căn hộ dịch vụ, mini",,Nội thất cao cấp
,0.6,", Phố Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Đã bàn giao,55.0,10.91,1.0,2,Sổ hồng riêng,"Căn hộ dịch vụ, mini",,Nội thất đầy đủ
,0.65,"Đường Trần Cung, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Đã bàn giao,50.0,13.0,1.0,2,Sổ hồng riêng,"Căn hộ dịch vụ, mini",,Nội thất cao cấp
,0.59,"Phố Thái Hà, Phường Láng Hạ, Quận Đống Đa, Hà Nội",Đã bàn giao,55.0,10.73,1.0,2,Sổ hồng riêng,"Căn hộ dịch vụ, mini",,Nội thất cao cấp
,0.6,"Đường Mễ Trì, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,50.0,12.0,1.0,2,Sổ hồng riêng,"Căn hộ dịch vụ, mini",,Nội thất cao cấp
,4.7,"Phố Trần Hữu Dực, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",Chưa bàn giao,83.0,56.63,2.0,3,Sổ hồng riêng,"Căn hộ dịch vụ, mini",,
,1.92,"Phố Hào Nam, Phường Cát Linh, Quận Đống Đa, Hà Nội",Đã bàn giao,50.0,38.4,1.0,2,Hợp đồng mua bán,Chung cư,,Nội thất đầy đủ
,4.7,"Phố Trần Hữu Dực, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",Chưa bàn giao,83.0,56.63,2.0,3,Sổ hồng riêng,"Căn hộ dịch vụ, mini",,
,1.92,"Phố Hào Nam, Phường Cát Linh, Quận Đống Đa, Hà Nội",Đã bàn giao,50.0,38.4,1.0,2,Hợp đồng mua bán,Chung cư,,Nội thất đầy đủ
,4.96,"Phố Trần Quý Kiên, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Đã bàn giao,79.0,62.78,2.0,2,Sổ hồng riêng,Chung cư,,
,1.98,"Đường Hoàng Đạo Thành, Phường Kim Giang, Quận Thanh Xuân, Hà Nội",Đã bàn giao,55.0,36.0,1.0,2,Hợp đồng mua bán,"Căn hộ dịch vụ, mini",,Nội thất đầy đủ
,2.74,"Đường Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội",Đã bàn giao,130.0,21.08,2.0,3,Sổ hồng riêng,"Tập thể, cư xá",,
Vinhomes Ocean Park Gia Lâm,3.5,"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,80.0,43.75,2.0,3,Sổ hồng riêng,Chung cư,,
,1.2,"Phố Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà Nội",Đã bàn giao,48.0,25.0,1.0,2,Hợp đồng mua bán,Chung cư,,Nội thất đầy đủ
Vinhomes Ocean Park Gia Lâm,2.21,"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,47.0,47.02,1.0,1,Sổ hồng riêng,Chung cư,,
,7.9,"Toà 1A Vinaconex 7, 136 Hồ Tùng Mậu, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",Đã bàn giao,139.2,56.75,2.0,4,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,1.89,"thái hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội",Đã bàn giao,52.0,36.35,1.0,2,Sổ hồng riêng,"Căn hộ dịch vụ, mini",,Nội thất đầy đủ
