du_an,price_VND,location,status,area,price_m2,toilet,room,doc,type,Số tầng,furnishing
,3.58,"Ngõ Văn Hương, Phường Hàng Bột, Quận Đống Đa, Hà Nội",,17.0,210.59,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ
,4.18,"Phố Nguyễn Hiền, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",,75.0,55.73,2.0,2.0,Đã có sổ,"Nhà ngõ, hẻm",1.0,Nội thất cao cấp
,8.5,"Phố Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội",,35.0,242.86,4.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ
,16.0,"Đường Hồ Tùng Mậu, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",,85.0,188.24,,10.0,Đã có sổ,"Nhà ngõ, hẻm",7.0,Nội thất đầy đủ
,7.55,"Phố Lụa, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",,35.0,215.71,3.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất đầy đủ
,8.0,"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",,38.0,210.53,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",6.0,
,5.9,"Ngõ 308 Phố Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",,35.0,168.57,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất cao cấp
,19.0,"Phố Trung Kính, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",,40.0,475.0,5.0,8.0,Đã có sổ,"Nhà mặt phố, mặt tiền",6.0,Nội thất đầy đủ
,6.4,"Đường Kim Giang, Xã Thanh Liệt, Huyện Thanh Trì, Hà Nội",,36.0,177.78,3.0,5.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Hoàn thiện cơ bản
,5.8,"Phố Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội",,42.0,138.1,3.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất đầy đủ
,14.0,"Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",,50.0,280.0,,5.0,Đã có sổ,"Nhà mặt phố, mặt tiền",5.0,
du_an,price_VND,location,status,area,price_m2,toilet,room,doc,type,Số tầng,furnishing
,8.79,"Phố Trạm, Phường Long Biên, Quận Long Biên, Hà Nội",,38.0,231.32,4.0,3,Đã có sổ,"Nhà mặt phố, mặt tiền",6.0,Hoàn thiện cơ bản
,5.4,"Phố Hàm Nghi, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",,35.0,154.29,,4,Đã có sổ,"Nhà ngõ, hẻm",,
,11.6,"Đường Trường Chinh, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",,52.0,223.08,4.0,4,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp
,5.5,"Đường Bắc Cầu, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",,140.0,39.29,3.0,3,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất đầy đủ
,10.8,"Đường Trường Chinh, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",,50.0,216.0,,4,Đã có sổ,"Nhà mặt phố, mặt tiền",,
,6.6,"Phố Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",,35.0,188.57,,3,Đã có sổ,"Nhà ngõ, hẻm",,
,4.35,"Đường Kim Giang, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",,25.0,174.0,,3,Đã có sổ,"Nhà ngõ, hẻm",,
,5.5,"Bát khối, Phường Thạch Bàn, Quận Long Biên, Hà Nội",,38.5,142.86,4.0,4,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ
,4.5,"Phố Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",,22.0,204.55,,3,Đã có sổ,"Nhà ngõ, hẻm",3.0,
,3.12,"Đường Quốc lộ 6 mở rộng (Ba La - Xuân Mai), Phường Đồng Mai, Quận Hà Đông, Hà Nội",,30.0,104.0,,3,Đã có sổ,"Nhà ngõ, hẻm",,
,7.5,"Xuân La, Phường Quảng An, Quận Tây Hồ, Hà Nội",,38.0,197.37,4.0,3,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ
,3.6,"Ngõ 274 Trương Định, Phường Tương Mai, Quận Hoàng Mai, Hà Nội",,25.0,144.0,,2,Đang chờ sổ,"Nhà mặt phố, mặt tiền",,
,10.9,"Phố Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",,54.0,201.85,3.0,6,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp
,2.2,"Đường Quốc lộ 6 mở rộng (Ba La - Xuân Mai), Phường Biên Giang, Quận Hà Đông, Hà Nội",,30.0,73.33,,3,Đã có sổ,"Nhà ngõ, hẻm",,
,3.72,"0, đồng nhân, Xã Đông La, Huyện Hoài Đức, Hà Nội",,30.0,124.0,3.0,3,Đã có sổ,"Nhà ngõ, hẻm",3.0,Hoàn thiện cơ bản
,17.5,"Phố Vũ Tông Phan, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",,59.0,296.61,4.0,6,Đã có sổ,"Nhà mặt phố, mặt tiền",5.0,Nội thất cao cấp
,5.8,"Phố Ỷ La, Phường Dương Nội, Quận Hà Đông, Hà Nội",,48.0,120.83,,6,Đã có sổ,"Nhà ngõ, hẻm",5.0,
,6.5,"Đường Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",,45.0,144.44,4.0,5,Đã có sổ,"Nhà ngõ, hẻm",5.0,
,6.7,"Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",,50.0,134.0,,4,Đã có sổ,"Nhà ngõ, hẻm",,
,9.6,"Ngõ 81 Xã Đàn, Phường Phương Liên, Quận Đống Đa, Hà Nội",,38.0,252.63,3.0,4,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất đầy đủ
,3.72,"0, đồng nhân, Xã Đông La, Huyện Hoài Đức, Hà Nội",,30.0,124.0,3.0,3,Đã có sổ,"Nhà ngõ, hẻm",3.0,Hoàn thiện cơ bản
,17.5,"Phố Vũ Tông Phan, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",,59.0,296.61,4.0,6,Đã có sổ,"Nhà mặt phố, mặt tiền",5.0,Nội thất cao cấp
,5.8,"Phố Ỷ La, Phường Dương Nội, Quận Hà Đông, Hà Nội",,48.0,120.83,,6,Đã có sổ,"Nhà ngõ, hẻm",5.0,
,6.5,"Đường Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",,45.0,144.44,4.0,5,Đã có sổ,"Nhà ngõ, hẻm",5.0,
,6.7,"Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",,50.0,134.0,,4,Đã có sổ,"Nhà ngõ, hẻm",,
,9.6,"Ngõ 81 Xã Đàn, Phường Phương Liên, Quận Đống Đa, Hà Nội",,38.0,252.63,3.0,4,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất đầy đủ
,6.85,"Đường Võ Chí Công, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",,36.0,190.28,4.0,3,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ
