du_an,price_VND,status,area,price_m2,toilet,room,doc,type,Số tầng,furnishing,category,Đường,Phường,Quận
,8.8,,39.0,225.64,4.0,4.0,Đã có sổ,"nhà mặt phố, mặt tiền",5.0,Nội thất cao cấp,NhaDat,,Phường Nguyễn Trãi,Quận Hà Đông
,9.5,,50.0,190.0,0,3.0,Đã có sổ,"nhà ngõ, hẻm",0,Không rõ,NhaDat,Đường Kim Giang,Phường Thanh Trì,Quận Hoàng Mai
,14.0,,55.0,254.55,4.0,5.0,Đã có sổ,"nhà mặt phố, mặt tiền",6.0,Nội thất đầy đủ,NhaDat,,Phường Thanh Trì,Quận Hoàng Mai
,6.25,,40.0,156.25,3.0,3.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Nội thất đầy đủ,NhaDat,Đường Bát Khối,Phường Long Biên,Quận Long Biên
,6.2,,40.0,155.0,4.0,6.0,Đã có sổ,"nhà mặt phố, mặt tiền",4.0,Nội thất đầy đủ,NhaDat,Đường Trần Cung,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm
,6.0,,44.0,136.36,0,4.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Nội thất cao cấp,NhaDat,Đường Phùng Khoang,Phường Trung Văn,Quận Nam Từ Liêm
,7.65,,35.0,218.57,4.0,3.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất đầy đủ,NhaDat,,Phường Dịch Vọng,Quận Cầu Giấy
,3.15,,40.0,78.75,0,4.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Không rõ,NhaDat,,,
,2.79,,36.0,77.5,0,3.0,Đã có sổ,"nhà mặt phố, mặt tiền",4.0,Không rõ,NhaDat,,,
,5.2,,36.0,144.44,3.0,3.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Nội thất đầy đủ,NhaDat,,Phường Thổ Quan,Quận Đống Đa
,4.5,,35.0,128.57,4.0,3.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Hoàn thiện cơ bản,NhaDat,,Phường Thạch Bàn,Quận Long Biên
,5.78,,30.0,192.67,4.0,3.0,Đã có sổ,"nhà ngõ, hẻm",0,Không rõ,NhaDat,,Phường Định Công,Quận Hoàng Mai
,1.89,,19.0,99.47,3.0,2.0,Không có sổ,"nhà ngõ, hẻm",4.0,Hoàn thiện cơ bản,NhaDat,,Phường Minh Khai,Quận Hai Bà Trưng
,7.4,,34.0,217.65,0,3.0,Đã có sổ,"nhà ngõ, hẻm",0,Không rõ,NhaDat,Đường Hoàng Mai,Phường Hoàng Văn Thụ,Quận Hoàng Mai
,4.2,,40.0,105.0,3.0,4.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất cao cấp,NhaDat,Đường Tả Thanh Oai,,
,1.8,,36.0,50.0,2.0,2.0,Đang chờ sổ,"nhà ngõ, hẻm",0,Không rõ,NhaDat,Đường Nguyễn Xiển,Phường Hạ Đình,Quận Thanh Xuân
,10.3,,40.0,257.5,4.0,3.0,Đã có sổ,"nhà mặt phố, mặt tiền",0,Nội thất cao cấp,NhaDat,Đường Nguyễn Sơn,Phường Long Biên,Quận Long Biên
,6.25,,37.0,168.92,0,3.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Không rõ,NhaDat,Đường Láng,Phường Láng Thượng,Quận Đống Đa
,5.5,,38.5,142.86,4.0,3.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất đầy đủ,NhaDat,,Phường Thạch Bàn,Quận Long Biên
,16.0,,52.0,307.69,5.0,5.0,Đã có sổ,"nhà mặt phố, mặt tiền",7.0,Nội thất cao cấp,NhaDat,Đường Trần Phú,Phường Mộ Lao,Quận Hà Đông
,6.8,,47.0,144.68,4.0,6.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Hoàn thiện cơ bản,NhaDat,,Phường Bạch Mai,Quận Hai Bà Trưng
,3.7,,39.0,94.87,3.0,4.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Hoàn thiện cơ bản,NhaDat,Đường Tả Thanh Oai,,
,8.98,,40.0,224.5,0,4.0,Đã có sổ,"nhà mặt phố, mặt tiền",6.0,Nội thất cao cấp,NhaDat,Đường Khương Đình,Phường Thượng Đình,Quận Thanh Xuân
,5.7,,35.0,162.86,0,4.0,Đã có sổ,"nhà ngõ, hẻm",0,Không rõ,NhaDat,,Phường Phúc Diễn,Quận Bắc Từ Liêm
,5.8,,36.0,161.11,0,4.0,Đã có sổ,"nhà ngõ, hẻm",0,Nội thất đầy đủ,NhaDat,,Phường Định Công,Quận Hoàng Mai
,4.2,,27.0,155.56,2.0,2.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Hoàn thiện cơ bản,NhaDat,Đường Bạch Đằng,Phường Bạch Đằng,Quận Hai Bà Trưng
,5.75,,25.0,230.0,4.0,3.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Hoàn thiện cơ bản,NhaDat,,Phường Tương Mai,Quận Hoàng Mai
,2.09,,52.0,40.19,0,2.0,Đã có sổ,"nhà ngõ, hẻm",0,Không rõ,NhaDat,Đường Võ Chí Công,Phường Xuân La,Quận Tây Hồ
,7.4,,38.0,194.74,0,4.0,Đã có sổ,"nhà ngõ, hẻm",0,Không rõ,NhaDat,,Phường Đội Cấn,Quận Ba Đình
,6.88,,37.0,185.95,0,3.0,Đã có sổ,"nhà ngõ, hẻm",0,Không rõ,NhaDat,Đường Nguyễn Khang,Phường Quan Hoa,Quận Cầu Giấy
,5.75,,35.0,164.29,0,3.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Nội thất đầy đủ,NhaDat,,Phường Khương Đình,Quận Thanh Xuân
,8.48,,37.0,229.19,4.0,3.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất cao cấp,NhaDat,,Phường Thanh Lương,Quận Hai Bà Trưng
,7.5,,35.0,214.29,3.0,4.0,Đã có sổ,"nhà mặt phố, mặt tiền",4.0,Nội thất cao cấp,NhaDat,,Phường La Khê,Quận Hà Đông
,6.05,,38.0,159.21,0,4.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Nội thất cao cấp,NhaDat,,Phường Khương Trung,Quận Thanh Xuân
,5.2,,32.0,162.5,0,3.0,Đã có sổ,"nhà ngõ, hẻm",0,Không rõ,NhaDat,,Phường Minh Khai,Quận Hai Bà Trưng
,3.35,,30.0,111.67,0,3.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Không rõ,NhaDat,Đường Biên Giang,Phường Biên Giang,Quận Hà Đông
,6.5,,42.0,154.76,2.0,3.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Không rõ,NhaDat,,Phường Đội Cấn,Quận Ba Đình
,3.9,,25.0,156.0,3.0,3.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Không rõ,NhaDat,,Phường Việt Hưng,Quận Long Biên
,3.9,,35.0,111.43,3.0,4.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất cao cấp,NhaDat,Đường Hữu Hoà,,
